Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,QuadClass,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
POL,POL,1.078727191811304,19841231,4,0.9443724696356275,4494,5.556750629072379,50.0418015951417,50.332782809716605,17.792615343319838,18.25116344291498,1235
POL,PRK,3.7924369747899163,19841114,1,3.7315789473684204,119,4.233355091395523,41.078947368421055,36.59442631578947,15.894736842105264,33.56743157894737,19
POL,PRT,1.8999999999999997,19841102,1,1.9,6,4.08879652901613,43.21215,39.5,-8.041049999999998,-8.0,4
POL,PRY,-3.5,19840223,4,-3.5,8,3.32225258842697,11.320825,-25.2667,-22.08335,-57.6667,4
POL,PSE,3.4317073170731707,19840405,1,3.4538461538461536,41,6.385090995474571,45.233599999999996,45.37435384615385,22.8278,20.133338461538465,13
POL,RUS,1.9050301810865191,19841224,4,1.480441640378549,994,5.520831897063546,51.614582649842276,54.294862776025234,22.583259410094637,45.34610031545741,317
POL,SAU,2.2162162162162162,19841113,1,2.157142857142857,37,4.436503457244673,49.38094285714286,27.55722857142857,17.95237142857143,34.63724285714286,7
POL,SEA,1.0,19840217,1,1.0,1,7.79569892473118,52.25,52.25,21.0,21.0,1
POL,SLV,-9.5,19841031,4,-9.5,5,1.28755364806867,13.8333,13.8333,-88.9167,-88.9167,1
POL,SVK,2.1575,19841221,4,1.829268292682927,200,4.779398979614197,51.447997560975615,49.61249024390244,17.30019024390244,23.01386707317073,82
POL,SWE,1.1629213483146068,19841023,4,1.7019230769230769,178,2.8922763173849786,54.48396923076923,56.1051,17.35975,16.09335,52
POL,SYR,1.5399999999999998,19841104,1,1.3,5,7.0191067149966235,45.916666666666664,34.0,25.766666666666666,36.86666666666667,3
POL,TCD,1.0,19841201,1,1.0,4,3.74149659863946,52.0,33.5,20.0,19.5,2
POL,THA,3.892857142857143,19840809,2,3.34,28,2.057676182142986,41.18268,12.0,15.80096,80.0,5
POL,TTO,3.0181818181818185,19841219,1,2.9,22,2.72727272727273,11.25,11.25,-60.6667,-60.6667,3
POL,TUR,-0.4500000000000001,19841021,4,-1.5384615384615385,44,3.589287385582553,51.18670769230769,41.03463846153846,21.45110769230769,33.93501538461538,13
POL,UGA,3.4,19840705,1,3.4,3,7.26837060702875,1.0,1.0,32.0,32.0,1
POL,UKR,2.697142857142857,19841222,3,2.92,35,3.395504163399699,54.478719999999996,52.382039999999996,-7.09951,28.84919,10
POL,USA,1.36979006656426,19841231,4,1.2443946188340806,1953,6.886902082796903,46.66608139013453,40.464637892376686,4.468906950672646,-42.081496614349774,446
POL,VAT,3.7527058823529416,19841229,3,3.3824175824175824,425,4.634135065919233,49.88314725274725,48.60551208791209,22.411828571428572,21.57283978021978,91
POL,VEN,1.0,19841229,1,1.0,7,5.3475935828877,41.625,10.04585,-1.7291750000000015,-68.0511,4
POL,VNM,2.9337078651685395,19841208,2,3.282758620689655,89,4.20462520390013,46.81494137931034,27.225858620689653,28.690241379310347,75.68565517241379,29
POL,WST,2.406807131280389,19841227,4,1.9765217391304348,617,5.849222658859657,48.10022260869565,46.761443478260865,18.285547913043477,11.943021391304347,115
POL,YEM,2.8,19841113,1,2.8,2,2.40963855421687,15.0,15.0,48.0,48.0,1
POL,ZAF,-1.96,19841016,3,-0.7000000000000001,15,8.027857287199465,50.708333333333336,10.67385,21.258333333333333,23.629900000000003,6
POL,ZMB,2.8,19841008,1,2.8,43,2.5129245468228545,37.142857142857146,-10.714285714285714,14.285714285714286,21.428571428571427,7
POL,ZWE,4.968421052631579,19841010,1,3.783333333333333,19,9.412116776940323,40.0,28.363699999999998,21.666666666666668,23.507450000000002,6
PRK,AFG,3.0350877192982457,19841230,2,3.6800000000000006,57,8.395620156969176,36.55703,33.303340000000006,91.85363,65.83666000000001,10
PRK,AFR,3.7441176470588236,19841118,2,3.5200000000000005,34,4.4735018472077375,25.744419999999998,22.744419999999998,106.59866,84.59866,5
PRK,AGO,-0.19705882352941143,19841203,4,1.8800000000000003,34,3.15577224191631,18.51328,-1.0220519999999993,83.6,38.093759999999996,5
PRK,ALB,2.3272727272727276,19841105,1,2.52,22,5.545047287207582,41.131,42.131,19.92756,20.92756,5
PRK,AUS,-9.5,19841126,4,-9.5,2,4.87394957983193,40.0,60.0,127.0,100.0,1
