Country Name,Max Latitude,Min Latitude,Max Longitude,Min Longitude,Country Code
Gabon,0.285061109645652,0.4519410759339138,0.5290803551104029,0.5445573127092233,GAB
Gambia,0.3861777895014508,0.5903800765036217,0.4484976098338265,0.4708819115779754,GMB
Georgia,0.6478501714587179,0.8180190445185969,0.6206749374004097,0.6348551310169688,GEO
Germany,0.747472083003605,0.868723040612029,0.53055998178921,0.5363326792104353,DEU
Ghana,0.362789061813066,0.5225848457719541,0.4912076030047803,0.5100427103774675,GHA
Greece,0.6317594302294909,0.7673964352567755,0.5681766446619622,0.5760995036361538,GRC
Grenada,0.3748351358480612,0.5816716855212827,0.3130548600045526,0.3411347108392013,GRD
Guatemala,0.4213488085817286,0.5957516073899243,0.2367971773275665,0.253232136673208,GTM
Guinea,0.3760661215158709,0.5425246195165622,0.4660254951058502,0.4759321251298627,GIN
Guinea-Bissau,0.3761540490635717,0.5729632945389436,0.4489528795811518,0.4711704952095118,GNB
Guyana,0.3399278994108854,0.4936925205501749,0.32711131345322103,0.3422601870021933,GUY
Haiti,0.4413083619097864,0.6307479449825018,0.2839745048941497,0.304484589634076,HTI
Honduras,0.4178317066737009,0.5896475950191259,0.2512804461643524,0.2615722036246105,HND
Hungary,0.6917260177613647,0.8562708553756002,0.5529251081265649,0.5658836430797646,HUN
Iceland,0.8497318209795129,1.0,0.44940814932847706,0.4486321135865174,ISL
India,0.5768047129165568,0.5389435989256938,0.7648531755064876,0.7160914232944708,IND
Indonesia,0.3166270992702014,0.3951330674696833,0.8889710903710448,0.7936338450883067,IDN
Iran (Islamic Republic of),0.6143497757847534,0.6879628876047855,0.667994536763032,0.6464561930047329,IRN
Iraq,0.5933350918842873,0.7205176202490436,0.6259959025722739,0.6313344107122245,IRQ
Ireland,0.7516926052932384,0.9027427362252788,0.4707773730935579,0.4892069721805379,IRL
Israel,0.5584278554471116,0.7240172540083014,0.5899442294559526,0.6181461387510101,ISR
Italy,0.6787127407016619,0.7728493529746887,0.5405190075119508,0.5384970564469584,ITA
Jamaica,0.4275916644684779,0.6280621795393505,0.2710277714545868,0.2932875447304629,JAM
Japan,0.6644684779741493,0.6810450069178806,0.9259902117004324,0.8742352533764286,JPN
Jordan,0.5580761452563088,0.7215756490599821,0.5996187115866151,0.6203105159875333,JOR
Kazakhstan,0.7520443154840412,0.8142752502645072,0.7362849988618255,0.6535842087036824,KAZ
Kenya,0.3088894750725402,0.4459184503947261,0.607016844980651,0.6172515294932472,KEN
Kiribati,0.3061637210938187,0.3907381785627085,0.9910368768495332,0.0157566662818885,KIR
Kuwait,0.5293238371581817,0.7162041181736795,0.6256259959025723,0.6537285005194506,KWT
