Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,Material Cooperation,Verbal Cooperation,Verbal Conflict,Material Conflict,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
CZE,LTU,3.9217391304347826,20061108,0.0,1.0,0.0,0.0,2.523076923076923,23,3.9972844663767977,49.15384615384615,54.78693076923077,17.653846153846153,23.446538461538463,13
CZE,LUX,2.05,20060308,0.0,1.0,0.0,0.0,2.0875,10,4.829445428657038,49.8749875,49.833325,11.612525,8.2417,8
CZE,LVA,4.809090909090909,20061129,0.0,1.0,0.0,0.0,4.05625,33,5.257411511224128,48.800681250000004,50.068575,24.19566875,24.002,16
CZE,MAR,-6.033333333333334,20060811,0.0,0.3333333333333333,0.0,0.6666666666666666,-6.033333333333334,3,2.06435944140862,50.166666666666664,38.59,13.333333333333334,1.2233333333333334,3
CZE,MDA,3.94,20061217,0.17647058823529413,0.8235294117647058,0.0,0.0,3.2823529411764705,30,6.788795161871169,49.985270588235295,47.53919411764706,14.770611764705881,27.49804117647059,17
CZE,MKD,3.1714285714285713,20061130,0.0,0.8181818181818182,0.0,0.18181818181818182,1.8181818181818181,21,4.3241681636383875,48.4617,44.68139090909091,16.18377272727273,16.8171,11
CZE,MLT,1.4888888888888887,20060505,0.0,1.0,0.0,0.0,1.4888888888888887,9,5.29432541793518,51.01175555555555,45.91937777777778,16.327955555555555,16.56212222222222,9
CZE,MMR,0.0,20060904,0.0,1.0,0.0,0.0,0.0,4,5.37974683544304,50.0833,50.0833,14.4667,14.4667,1
CZE,MNG,2.057142857142857,20060926,0.0,0.8571428571428571,0.0,0.14285714285714285,2.057142857142857,7,5.6868901406716565,49.84522857142857,47.63097142857142,15.20477142857143,93.30971428571429,7
CZE,MYS,6.400000000000001,20060918,1.0,0.0,0.0,0.0,6.400000000000001,3,3.79746835443038,50.0833,18.3611,14.466699999999998,79.82223333333333,3
